id,company_id,company_name,date,lettering,label,debit,credit,plan_item_number,plan_item_label,journal_code,journal_label,document_id,document_label,invoice_number,invoice_link,fec_pieceref,document_created_at,document_updated_at,thirdparty_id,thirdparty_plan_item_number,thirdparty_plan_item_label,tag_group,tag_label,tag_weight
"6028725570","21922217","AIRPORTING","2024-12-05T23:00:00.000Z","","CAFE RAPHAELLE","0.00","152.50","5121001","Pennylane - Compte Pro Pennylane","BQ1","Journal de trésorerie - Compte Pro Pennylane","1457125681","CAFE RAPHAELLE","","","ASDTGDPDXX","2024-12-06T06:58:10.922Z","2024-12-06T06:58:12.194Z","135444952","401100146","JMSR1715","","",""
"6028118680","21922217","AIRPORTING","2024-12-05T23:00:00.000Z","","GC RE DIGIDOM - REF-EF9F938FC5B9A7BD1D","0.00","58.80","5121001","Pennylane - Compte Pro Pennylane","BQ1","Journal de trésorerie - Compte Pro Pennylane","1456969409","GC RE DIGIDOM - REF-EF9F938FC5B9A7BD1D","","","DOKF6QSZ32","2024-12-06T06:00:53.332Z","2024-12-06T06:00:53.657Z","","","","","",""
"6027093300","21922217","AIRPORTING","2024-12-04T23:00:00.000Z","","Virement reçu de  ASSOC. ASSOCIATION KONEXIO DF4ADF16C1E74814 / de = ASSOC. ASSOCIATION KONEXIO / Remittance_info = REF(D4F4AYVVUU) - F-2024-2418 / DF4ADF16C1E74814896051396818835B / reference = 0000000 / Code = 0568 / transaction_id = SoBank_45630_EUR_30004_00010222744_45630_2","1200.00","0.00","5121004","BNP Paribas - BNPP","BQ4","Journal de trésorerie - BNPP","1456679078","Virement reçu de  ASSOC. ASSOCIATION KONEXIO DF4ADF16C1E74814 / de = ASSOC. ASSOCIATION KONEXIO / Remittance_info = REF(D4F4AYVVUU) - F-2024-2418 / DF4ADF16C1E74814896051396818835B / reference = 0000000 / Code = 0568 / transaction_id = SoBank_45630_EUR_30004_00010222744_45630_2","","","EKACIYT4CJ","2024-12-06T02:54:34.563Z","2024-12-06T02:54:35.059Z","81075612","411100028","KONEXIO","","",""
"6027093304","21922217","AIRPORTING","2024-12-04T23:00:00.000Z","","Virement reçu de  AGENCE DE SERVICES ET DE PAIEME 1D07500001456436 / de = DRFIP ILE DE FRANCE ET DE PARIS / Remittance_info = 145643626 AUEA AUEA04112406700 MIN TRAVAIL EMPLOI AIDE UNIQUE APPRENTI / 1D0750000145643626 TEL 0240697836 / reference = 0000000 / Code = 0568 / transaction_id = SoBank_45630_EUR_30004_00010222744_45630_1","500.00","0.00","5121004","BNP Paribas - BNPP","BQ4","Journal de trésorerie - BNPP","1456679077","Virement reçu de  AGENCE DE SERVICES ET DE PAIEME 1D07500001456436 / de = DRFIP ILE DE FRANCE ET DE PARIS / Remittance_info = 145643626 AUEA AUEA04112406700 MIN TRAVAIL EMPLOI AIDE UNIQUE APPRENTI / 1D0750000145643626 TEL 0240697836 / reference = 0000000 / Code = 0568 / transaction_id = SoBank_45630_EUR_30004_00010222744_45630_1","","","WZQ8XL9TNU","2024-12-06T02:54:34.563Z","2024-12-06T02:54:35.059Z","","","","","",""
"6027092180","21922217","AIRPORTING","2024-12-03T23:00:00.000Z","","Paiement reçu de Qomon/ Airporting - F-2024-2430 / admin@qomon.com / admin@qomon.com / Dolphins / admin@qomon.com / AIRP - F-2024-2430 / paid_by = sepa_debit / Airporting - F-2024-2430 / transaction_id = Stripe_py_3QSCzFE2IquGd2Rf0ny5zD82","3600.00","0.00","5121003","Stripe - Stripe","BQ3","Journal de trésorerie - Stripe","1456678716","Paiement reçu de Qomon/ Airporting - F-2024-2430 / admin@qomon.com / admin@qomon.com / Dolphins / admin@qomon.com / AIRP - F-2024-2430 / paid_by = sepa_debit / Airporting - F-2024-2430 / transaction_id = Stripe_py_3QSCzFE2IquGd2Rf0ny5zD82","","","N3KMSIK5DT","2024-12-06T02:53:14.329Z","2024-12-06T02:53:15.008Z","","","","","",""
"6027092174","21922217","AIRPORTING","2024-12-03T23:00:00.000Z","","Paiement reçu de BEEKAST SAS/ Airporting - F-2024-2406 / compta@beekast.com / compta@beekast.com / Beekast / compta@beekast.com / AIRP - F-2024-2406 / paid_by = sepa_debit / Airporting - F-2024-2406 / transaction_id = Stripe_py_3QSCrCE2IquGd2Rf13zVEBFb","3816.00","0.00","5121003","Stripe - Stripe","BQ3","Journal de trésorerie - Stripe","1456678723","Paiement reçu de BEEKAST SAS/ Airporting - F-2024-2406 / compta@beekast.com / compta@beekast.com / Beekast / compta@beekast.com / AIRP - F-2024-2406 / paid_by = sepa_debit / Airporting - F-2024-2406 / transaction_id = Stripe_py_3QSCrCE2IquGd2Rf13zVEBFb","","","ZJBP9V1F5U","2024-12-06T02:53:14.329Z","2024-12-06T02:53:15.008Z","","","","","",""
"6027092176","21922217","AIRPORTING","2024-12-03T23:00:00.000Z","","Paiement reçu de CLINT SAS/ Airporting - F-2024-2407 / christelle@clintagency.com / christelle@clintagency.com / CLINT SAS / christelle@clintagency.com / AIRP - F-2024-2407 / paid_by = sepa_debit / Airporting - F-2024-2407 / transaction_id = Stripe_py_3QSCrIE2IquGd2Rf1a7sNgWF","318.00","0.00","5121003","Stripe - Stripe","BQ3","Journal de trésorerie - Stripe","1456678722","Paiement reçu de CLINT SAS/ Airporting - F-2024-2407 / christelle@clintagency.com / christelle@clintagency.com / CLINT SAS / christelle@clintagency.com / AIRP - F-2024-2407 / paid_by = sepa_debit / Airporting - F-2024-2407 / transaction_id = Stripe_py_3QSCrIE2IquGd2Rf1a7sNgWF","","","QWJJARIFPI","2024-12-06T02:53:14.329Z","2024-12-06T02:53:15.008Z","","","","","",""
"6027092184","21922217","AIRPORTING","2024-12-03T23:00:00.000Z","","Paiement reçu de GUIMINI SARL/ Airporting - F-2024-2413 / comptabilite@guimini.com / comptabilite@guimini.com / GUIMINI / comptabilite@guimini.com / AIRP - F-2024-2413 / paid_by = sepa_debit / Airporting - F-2024-2413 / transaction_id = Stripe_py_3QSCroE2IquGd2Rf1235Sh6N","2100.00","0.00","5121003","Stripe - Stripe","BQ3","Journal de trésorerie - Stripe","1456678719","Paiement reçu de GUIMINI SARL/ Airporting - F-2024-2413 / comptabilite@guimini.com / comptabilite@guimini.com / GUIMINI / comptabilite@guimini.com / AIRP - F-2024-2413 / paid_by = sepa_debit / Airporting - F-2024-2413 / transaction_id = Stripe_py_3QSCroE2IquGd2Rf1235Sh6N","","","XTUJJVHOFN","2024-12-06T02:53:14.329Z","2024-12-06T02:53:15.008Z","","","","","",""
"6027092172","21922217","AIRPORTING","2024-12-03T23:00:00.000Z","","Paiement reçu de benjamin.bing@perlib.fr/ Airporting - F-2024-2385 / benjamin.bing@perlib.fr / benjamin.bing@perlib.fr / DBL PATRIMOINE / benjamin.bing@perlib.fr / AIRP - F-2024-2385 / paid_by = sepa_debit / Airporting - F-2024-2385 / transaction_id = Stripe_py_3QSCzbE2IquGd2Rf1Ge4fAbl","6000.00","0.00","5121003","Stripe - Stripe","BQ3","Journal de trésorerie - Stripe","1456678715","Paiement reçu de benjamin.bing@perlib.fr/ Airporting - F-2024-2385 / benjamin.bing@perlib.fr / benjamin.bing@perlib.fr / DBL PATRIMOINE / benjamin.bing@perlib.fr / AIRP - F-2024-2385 / paid_by = sepa_debit / Airporting - F-2024-2385 / transaction_id = Stripe_py_3QSCzbE2IquGd2Rf1Ge4fAbl","","","GUQ4CWYTTE","2024-12-06T02:53:14.329Z","2024-12-06T02:53:15.008Z","","","","","",""
"6027092168","21922217","AIRPORTING","2024-12-03T23:00:00.000Z","","Paiement reçu de benjamin.bing@perlib.fr/ Airporting - F-2024-2412 / benjamin.bing@perlib.fr / benjamin.bing@perlib.fr / DBL PATRIMOINE / benjamin.bing@perlib.fr / AIRP - F-2024-2412 / paid_by = sepa_debit / Airporting - F-2024-2412 / transaction_id = Stripe_py_3QSCriE2IquGd2Rf15E5Cb5V","5724.00","0.00","5121003","Stripe - Stripe","BQ3","Journal de trésorerie - Stripe","1456678720","Paiement reçu de benjamin.bing@perlib.fr/ Airporting - F-2024-2412 / benjamin.bing@perlib.fr / benjamin.bing@perlib.fr / DBL PATRIMOINE / benjamin.bing@perlib.fr / AIRP - F-2024-2412 / paid_by = sepa_debit / Airporting - F-2024-2412 / transaction_id = Stripe_py_3QSCriE2IquGd2Rf15E5Cb5V","","","8ERZOBAPRM","2024-12-06T02:53:14.329Z","2024-12-06T02:53:15.008Z","","","","","",""
